sample_size,explainer,metric,sd_across_seeds
50,exact_linear,deletion_fidelity_aopc_at_3,0.14329901832648903
50,exact_linear,stability_top3_jaccard,0.02146838974082058
50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.13669944221287364
50,randomized_negative_control,stability_top3_jaccard,0.025467019774797223
100,exact_linear,deletion_fidelity_aopc_at_3,0.08739262571075405
100,exact_linear,stability_top3_jaccard,0.017285724705654253
100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.10058827768004494
100,randomized_negative_control,stability_top3_jaccard,0.01613662943334386
200,exact_linear,deletion_fidelity_aopc_at_3,0.08031625001556465
200,exact_linear,stability_top3_jaccard,0.012421370686059568
200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.047748779960204935
200,randomized_negative_control,stability_top3_jaccard,0.013883527888333268
