sample_size,explainer,metric,mean,std,min,max
50,exact_linear,deletion_fidelity_aopc_at_3,1.7431870315557554,0.143299018326489,1.4988471015474314,2.0423341567058615
50,exact_linear,stability_top3_jaccard,0.9417108843537415,0.02146902106449146,0.91,0.96875
50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7994425042997877,0.14719593728392577,0.5651005797206955,1.0703955698357261
50,randomized_negative_control,stability_top3_jaccard,0.2685887755102041,0.018834196533440647,0.23750000000000002,0.29791666666666666
100,exact_linear,deletion_fidelity_aopc_at_3,1.7372792227663196,0.08739262571075393,1.64500825822549,1.8699216661970968
100,exact_linear,stability_top3_jaccard,0.9526531357388317,0.01253452763573044,0.9336734693877551,0.9742268041237113
100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7722689035961716,0.10864265674054745,0.5988499633110261,0.9458678126665861
100,randomized_negative_control,stability_top3_jaccard,0.26321433042289083,0.01803872392251055,0.2285714285714286,0.28969072164948456
200,exact_linear,deletion_fidelity_aopc_at_3,1.7636353114942112,0.08031625001556457,1.6491784015290147,1.8750074833937953
200,exact_linear,stability_top3_jaccard,0.9531727593049928,0.00627236160603616,0.9434999999999999,0.9642857142857143
200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7612845012302187,0.06180011758396918,0.6594364706892599,0.8338072168312365
200,randomized_negative_control,stability_top3_jaccard,0.26645263825289206,0.01437097366570011,0.23857868020304568,0.28484848484848485
